prolific_id,participant_id,trial_type,trial_index,image_shown,image_category,like_state,share_state,image_index,scroll_to_bottom,political_affiliation,consented,blame_prescriptive,praise_prescriptive,emotion_prescriptive,poli_prescriptive,gender,age,language,education,employment,party,party_lean,political_ideology,political_follow,rep_id,dem_id,sm_use,sm_use_slider,sm_use_poli,sm_use_poli_slider,sm_post_poli,sm_post_poli_slider,share_why
TEST123,176,social-media-feed,4,Slide503.png,rep_ingroup_praise,,,58,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide556.png,neutral_political,,,59,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide581.png,neutral_political,,,60,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide460.png,dem_outgroup_blame,,,61,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide529.png,neutral_political,true,true,62,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide516.png,dem_outgroup_blame,,,63,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide685.png,distractor,,,64,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide687.png,distractor,,,65,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide557.png,neutral_political,,,66,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide582.png,neutral_political,,true,67,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide678.png,distractor,,,68,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide451.png,dem_ingroup_praise,,,69,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide531.png,rep_ingroup_praise,,,70,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide681.png,distractor,,,71,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide507.png,rep_outgroup_blame,,,72,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide684.png,distractor,,,73,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide485.png,dem_ingroup_praise,,,74,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide686.png,distractor,,true,75,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide457.png,dem_outgroup_blame,,,76,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide532.png,rep_ingroup_praise,,,77,,republican,,,,,,,,,,,,,,,,,,,,,,,
