prolificID,experiment_id,condition,gender,age,blame_prescriptive,praise_prescriptive
8A81C40E775241DABEEE53A67C7F74DC,ewMHzB,1,Female,27,0,0
F9C6927E180F4F3BBE33B5F5452635A9,ewMHzB,1,Female,27,0,-1
A2F7231D9B144A95B50B1C95CD29FFE1,ewMHzB,4,Male,25,2,2
10CE2C83A0484DB6932BDA88A68CFBE6,eNqCUq,3,Female,37,0,2
B9339121A0D8410D921CC07F01914764,eNqCUq,3,Male,22,0,0
53276D1DF38E43BCAD9A6AB8528CFEDF,ewMHzB,1,Male,25,3,3
1B56FAB2CAC24B1E8255E56E29156E3A,eNqCUq,4,Male,25,-1,1
C359722303E74636896615B081B895ED,eNqCUq,4,Male,36,1,3
36487EA7EC974D0E8149918F95BF9F54,eNqCUq,4,Male,25,1,2
10F9EB571E8F4893B63292EDAB04F3A0,ewMHzB,3,Male,31,-2,3
0A294D5800B349668649965E10B8E99B,eNqCUq,2,Male,38,3,0
1E18D3380B3E4445A2ABD6A695AF339B,ewMHzB,4,Prefer not to say,36,1,2
1D572EF14532494EB7AC5BC33B74883F,eNqCUq,3,Male,38,0,3
C8349FC5DBD94DE49DD0217FD18A6E2A,eNqCUq,3,Female,65,2,3
3221EA13F4B84D2FB89B884B794133AB,eNqCUq,1,Male,24,0,1
269ED7B45D0C4FD3968C220A21DEAE92,ewMHzB,3,Male,26,0,3
78D10B2245C346C8A35FCC694144C653,ewMHzB,2,Female,31,-1,1
CA9D9CD7B0B0466D8409D8B49A2AA92B,ewMHzB,2,Female,39,-2,2
DB0FDEAD7F90458A8DBCC9BC3CBED04B,ewMHzB,1,Female,36,-1,0
21C4F712CEA24FA58B7B6D562619E466,ewMHzB,4,Female,22,0,0
179EBCDA136F4FC48C5E1F2623CF6BED,eNqCUq,2,Male,38,1,1
C2BB14054A11447D9B1AACEF3E9AA2EC,ewMHzB,3,Male,24,2,1
0E483352F98B470EB75DF4701FB47648,eNqCUq,3,Male,24,-2,-3
63CCB99291884DB49454E28CF01D6FE0,ewMHzB,4,Male,31,2,2
B580F501C109412999DA822C35DA0833,ewMHzB,1,Female,27,-3,-2
A699A5BD5CAF498BB628DCFC0E454DED,ewMHzB,4,Female,32,0,3
B3F8EF464E22446EAEFD834A346DFD73,ewMHzB,2,Female,30,1,2
1A2A688F4EE1457DAFE450C4EE7E90BB,ewMHzB,2,Male,31,0,3
98B5E42FE2DB421E87850A708B590B36,ewMHzB,3,Male,40,1,3
29D7E7136AEC493F8841C9BE4D263D8A,ewMHzB,3,Male,28,0,0
CE59106E05024279BC5FD388B463A8C9,ewMHzB,4,Female,22,-3,2
AD3ABD00B3C645A6948AA069F9E50CFE,ewMHzB,2,Female,42,-3,2
8E3FFAE76F8A40E6B5603B143EFE6314,eNqCUq,1,Male,37,0,1
E5173CFF254045F08AF77EF1FAD17D6B,ewMHzB,1,Male,25,0,1
4FCC7AD8ED1A4B278D00964378263DF6,ewMHzB,3,Male,21,2,2
DE765E74ACF3492FB4CD45A60427C876,ewMHzB,2,Male,45,3,3
D92F5DFDB6194D919231B4EFCF34BAF0,ewMHzB,1,Female,64,2,2
A9414AF40CC844DBA1EC7D43FA187CDE,ewMHzB,3,Female,29,-1,0
9AA07A65B7CC4FE39128B2700B3A94CC,ewMHzB,4,Male,24,1,1
A4634667043F492A993D08B6484090E5,eNqCUq,1,Male,43,0,2
ED47543A709C4CEB897320957C3B3667,ewMHzB,3,Male,34,1,3
467535A5E255478A97460136960AE30C,ewMHzB,4,Male,42,-1,3
BA8F3020F91340B58A68DCE3713D3864,ewMHzB,2,Male,36,1,2
18BF3F62EA1E48C99F02957B74EF2626,eNqCUq,4,Female,44,0,3
CEA33795D6A64F03AED1892CD20A1EF1,ewMHzB,2,Male,32,0,3
9CB16D852EC44452923F5C69AAA5FCBD,eNqCUq,4,Male,30,-1,0
8045543092A0404BBE680801D829C4A6,ewMHzB,4,Female,29,0,0
B3B9ABD607544E05A4273294F3BCEAD0,ewMHzB,2,Female,44,1,0
FD0E33EC793B4453B97AC10474D30F3A,ewMHzB,3,Male,25,0,1
F7657DE23FCC46EA87A90F738D4B02F2,ewMHzB,3,Male,24,0,2
674A5CE85CF64CAA89A6E78D2AB131C4,ewMHzB,3,Male,33,-1,3
54B9F370C90B45C09BEF11B7F18EA8BF,ewMHzB,4,Male,69,-3,3
8934018891A24DE9809D5C3F776872D7,ewMHzB,3,Male,25,1,3
A6E935781D864C9097F42C21475F5315,ewMHzB,4,Female,35,2,3
D41CB348E50F40EB969B97D565451026,ewMHzB,3,Male,30,-1,1
74B1F894FE6B46679D47924AB2CD5C2A,ewMHzB,2,Female,49,-1,-2
87DF9F11DB184EA6A31B6FFB0BDC6021,ewMHzB,1,Male,37,3,1
E3C3BC14651D4C91920182BF8C48C7E5,ewMHzB,3,Female,25,1,2
AAE6A7BF55A54CA29822014110DEFF70,ewMHzB,1,Female,34,1,3
94F2C1CE6DA4482182A6BF3EB20E310B,ewMHzB,2,Male,24,0,3
8AD70996DA284ECB828016DC41BD81FE,ewMHzB,2,Male,40,3,3
C5EFEBF34F3C40489F6FA6B2A9646561,ewMHzB,3,Female,24,-1,1
28D00DF7807C4E4EB8B0A620D33DD01F,ewMHzB,1,Male,36,2,3
60E605E88628420C95E0A2A74D23A5BA,ewMHzB,2,Female,35,-1,0
6C7CD957D2FB48CBB1040C4213B84BB2,eNqCUq,2,Male,26,-2,3
DFE2AC1CB8BD4F5E968C88702D019063,ewMHzB,3,Male,36,0,0
712D96C285AD4E9C99E1D34CF9D05922,ewMHzB,3,Female,37,1,2
BAF0B3F426FA4DA9BB8A71C7355CD652,ewMHzB,3,Male,40,1,2
312642AC1BAC48A98BCA5FF4078B3859,eNqCUq,2,Male,70,3,3
3ECEE5A115694D17B343CE510BD58752,ewMHzB,1,Male,24,0,0
D2C2B24CB8AA4AF89F9CDD331386C34F,ewMHzB,4,Male,24,-1,-1
FA68BF716AA445A384E204CF28D6CC6D,eNqCUq,2,Female,64,-3,0
534B5AB2A3B94C5D9C1BF817BB7E602B,ewMHzB,1,Female,55,0,0
DBA683D3F6E14A6AADF8F6499BE436F6,ewMHzB,4,Female,41,-2,3
BC2E710C555B4D61AEF6A6CE3602B579,ewMHzB,4,Male,24,0,-1
8C8DCE48CBB947A59589DB27FBBC12B7,ewMHzB,4,Male,50,1,2
96166644CEF84D3CAC117A53A50AFABD,ewMHzB,3,Female,57,2,2
0346EAC3BB00442A803C97398EE69A48,ewMHzB,2,Male,25,2,3
5B27376957F8432B857624C0D3362A63,ewMHzB,2,Male,25,0,2
3E2F00D3017A4E02B4E44E244CA4B06D,eNqCUq,4,Male,25,2,2
1A81D156345A4E789A038474BEA4CDD0,ewMHzB,3,Male,35,-3,3
29D61ED4F035472BBF58239AB24C15C2,ewMHzB,3,Male,20,-1,0
07D838CAE24F4120B4DBCCF8D142DCD8,eNqCUq,3,Female,46,1,2
9BC292400FD7453F921A50D00A90B4C2,ewMHzB,2,Female,47,-1,0
FAC7CF95037D41FC9219CFEA2FDCFBCF,eNqCUq,1,Female,40,0,1
332D10C95F0D44A4929AC5135A684EE9,ewMHzB,3,Male,24,2,1
9664957502D74D3C8F6E6D05FBD2BC06,eNqCUq,3,Male,53,-1,1
D750FA1C2DAA4EB58460A5CB61135D75,eNqCUq,4,Male,38,1,2
82223D25FBC24443AE7FCEE2B59B60DF,ewMHzB,2,Female,49,2,0
7D95AF44462D4610B45BF0B92EE0F9C6,ewMHzB,3,Male,35,1,2
69E92D7D3F5C41F8B386D8CEF0E0611D,ewMHzB,2,Male,28,1,0
0F6FD0372F914169A5BEAEC6D74A0C35,ewMHzB,3,Female,48,1,0
B0901473905B445F8409B786C97E73FD,eNqCUq,1,Male,23,0,0
1ABFFC0D417E470797239BD1BDCDB11B,ewMHzB,1,Female,29,-2,1
