"Var1","Freq","partisan","label"
"Slide212.png",10,"Democrat","ingroup praise"
"Slide213.png",10,"Democrat","ingroup praise"
"Slide214.png",10,"Democrat","ingroup praise"
"Slide215.png",10,"Democrat","ingroup praise"
"Slide216.png",10,"Democrat","outgroup blame"
"Slide217.png",11,"Democrat","outgroup blame"
"Slide218.png",10,"Democrat","outgroup blame"
"Slide219.png",11,"Democrat","outgroup blame"
"Slide22.png",10,"Republican","ingroup praise"
"Slide220.png",11,"Democrat","outgroup blame"
"Slide221.png",20,"N/A","neutral"
"Slide222.png",21,"N/A","neutral"
"Slide223.png",21,"N/A","neutral"
"Slide224.png",20,"N/A","neutral"
"Slide225.png",21,"N/A","neutral"
"Slide226.png",20,"N/A","neutral"
"Slide227.png",20,"N/A","neutral"
"Slide228.png",21,"N/A","neutral"
"Slide229.png",21,"N/A","neutral"
"Slide23.png",10,"Republican","ingroup praise"
"Slide230.png",21,"N/A","neutral"
"Slide231.png",10,"Republican","ingroup praise"
"Slide232.png",10,"Republican","ingroup praise"
"Slide233.png",10,"Republican","ingroup praise"
"Slide234.png",10,"Republican","ingroup praise"
"Slide235.png",11,"Republican","ingroup praise"
"Slide236.png",10,"Republican","outgroup blame"
"Slide237.png",10,"Republican","outgroup blame"
"Slide238.png",10,"Republican","outgroup blame"
"Slide239.png",10,"Republican","outgroup blame"
"Slide24.png",10,"Republican","ingroup praise"
"Slide240.png",11,"Republican","outgroup blame"
"Slide241.png",11,"Democrat","ingroup praise"
"Slide242.png",10,"Democrat","ingroup praise"
"Slide243.png",11,"Democrat","ingroup praise"
"Slide244.png",11,"Democrat","ingroup praise"
"Slide245.png",11,"Democrat","ingroup praise"
"Slide246.png",10,"Democrat","outgroup blame"
"Slide247.png",10,"Democrat","outgroup blame"
"Slide248.png",11,"Democrat","outgroup blame"
"Slide249.png",10,"Democrat","outgroup blame"
"Slide25.png",10,"Republican","ingroup praise"
"Slide250.png",10,"Democrat","outgroup blame"
"Slide251.png",21,"N/A","neutral"
"Slide252.png",21,"N/A","neutral"
"Slide253.png",20,"N/A","neutral"
"Slide254.png",20,"N/A","neutral"
"Slide255.png",21,"N/A","neutral"
"Slide256.png",20,"N/A","neutral"
"Slide257.png",22,"N/A","neutral"
"Slide258.png",21,"N/A","neutral"
"Slide259.png",21,"N/A","neutral"
"Slide26.png",10,"Republican","outgroup blame"
"Slide260.png",21,"N/A","neutral"
"Slide261.png",10,"Republican","ingroup praise"
"Slide262.png",10,"Republican","ingroup praise"
"Slide263.png",10,"Republican","ingroup praise"
"Slide264.png",10,"Republican","ingroup praise"
"Slide265.png",10,"Republican","ingroup praise"
"Slide266.png",10,"Republican","outgroup blame"
"Slide267.png",10,"Republican","outgroup blame"
"Slide268.png",10,"Republican","outgroup blame"
"Slide269.png",10,"Republican","outgroup blame"
"Slide27.png",10,"Republican","outgroup blame"
"Slide270.png",10,"Republican","outgroup blame"
"Slide271.png",11,"Democrat","ingroup praise"
"Slide272.png",12,"Democrat","ingroup praise"
"Slide273.png",11,"Democrat","ingroup praise"
"Slide274.png",10,"Democrat","ingroup praise"
"Slide275.png",11,"Democrat","ingroup praise"
"Slide276.png",11,"Democrat","outgroup blame"
"Slide277.png",10,"Democrat","outgroup blame"
"Slide278.png",10,"Democrat","outgroup blame"
"Slide279.png",10,"Democrat","outgroup blame"
"Slide28.png",10,"Republican","outgroup blame"
"Slide280.png",11,"Democrat","outgroup blame"
"Slide281.png",20,"N/A","neutral"
"Slide282.png",22,"N/A","neutral"
"Slide283.png",20,"N/A","neutral"
"Slide284.png",21,"N/A","neutral"
"Slide285.png",22,"N/A","neutral"
"Slide286.png",22,"N/A","neutral"
"Slide287.png",21,"N/A","neutral"
"Slide288.png",20,"N/A","neutral"
"Slide289.png",21,"N/A","neutral"
"Slide29.png",10,"Republican","outgroup blame"
"Slide290.png",20,"N/A","neutral"
"Slide291.png",10,"Republican","ingroup praise"
"Slide292.png",10,"Republican","ingroup praise"
"Slide293.png",10,"Republican","ingroup praise"
"Slide294.png",10,"Republican","ingroup praise"
"Slide295.png",10,"Republican","ingroup praise"
"Slide296.png",10,"Republican","outgroup blame"
"Slide297.png",10,"Republican","outgroup blame"
"Slide298.png",10,"Republican","outgroup blame"
"Slide299.png",10,"Republican","outgroup blame"
"Slide3.png",10,"Democrat","ingroup praise"
