participant_id,party,assignment_number
60ff4947f329136761a45103,democrat,1
6728d8b6eb938d674accb5e7,democrat,2
6110878b7d1780f35b6d53b4,democrat,3
5fbb3e448a2ddbc3382f234c,democrat,4
667b2f1ebd0fe96b4afb83f5,democrat,5
664df2de088c4acb7473b3ff,democrat,6
63cee7d22818a88c1d437e56,democrat,7
66463bc93e6f6e846ffb0b85,democrat,8
66293afa0603edc9d10882fc,democrat,9
66d89eb45a5dc4d8d967ad28,democrat,10
65ced4a0331028ff568c97d7,democrat,11
60a075bcc900389813dd06b0,democrat,12
5e26ed82677d6f91fcf492f8,democrat,13
652fef7dd80b934fb2a0e4d6,democrat,14
55898d0ffdf99b7ae47f5d45,democrat,15
5c7de7a44a0a4b001686fd98,democrat,16
5e3b759740e302397f294a2d,democrat,17
66374f8e9c1ca211b6f74732,democrat,18
600cff71c2b8b6481b27bff4,democrat,19
62ef8372cd41d2893d237b6b,democrat,20
602b341eaa844c268044e8f4,democrat,21
5f514a32f4577317da5da78f,democrat,22
65a2b63ce6c9bebdef578413,democrat,23
5fa0ec6d81b63717a99bcb31,democrat,24
60ff348b2ff466e4d1feca5d,democrat,25
66da3a38015c1244cc2b278f,democrat,26
5938e042e9b44100013ae891,democrat,27
610765c6d41933eba28b45a9,democrat,28
66608c06ded6c4adca8a1638,democrat,29
6712e1af73dfa2bfa2d623a8,democrat,30
6310ceffa120ca2c1fbe1d92,democrat,32
6155d67aefa943dad800a5b4,democrat,33
611945fc6980c74d56ebaa43,democrat,34
60e2193771b86e6712f86efc,democrat,35
5d89c4dd68f9d60001a21500,democrat,36
5dddd93ce2dcbdd58abe31f2,democrat,37
6631a603f13fd9060d28f5b8,democrat,38
5786f020fa4465000113e8c7,democrat,39
663a68aa742bcff8b0f8c014,democrat,40
66f609ee08235c3e1020be48,democrat,41
5f01230b4f8dff26fad883d2,democrat,42
65958438929aaa555306b792,democrat,43
66f79e4ad5c034f3860a9619,democrat,44
66f59c0fdab62fb395b9b969,democrat,45
66a4411e4af4981c772181e2,democrat,46
606667192ccf1e458255d668,democrat,47
67282bd83f8d0606edf4b368,democrat,49
663e6aee86652878a3ebeac8,democrat,50
6726c7578667d179b8d5fdab,democrat,51
5f8614b5dae6f31327b20577,democrat,52
66295f0e9bcde360755403f0,democrat,53
60fee48ed856348cd4742c76,democrat,54
665a0857a0c87db18a268c58,democrat,55
663a0eeaf80aac20f90fac2a,democrat,56
5a6fd0626923df0001ef977b,democrat,57
6630daa019b7932ca293ab34,democrat,58
6642443d20c6756676eb72c3,democrat,59
662da25fc17944dbf5c4e771,democrat,60
65c252b8c77492c4cd360a09,democrat,61
671ee411e8f355dad36f4b7b,democrat,62
66a4591c98b2677590fcdffb,democrat,63
66c746865d6f3002fe597fa6,democrat,64
66880d1b1866827580ac8f78,democrat,65
6640c062dbc5620b17c3f6d8,democrat,66
656ea0d1171b158205065fbb,democrat,67
